City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Yulara,AU,-25.2406,130.9889,64.24,72,100,6.91,overcast clouds
312,Nanortalik,GL,60.1432,-45.2371,35.01,97,100,3.38,light snow
313,Alta Floresta,BR,-9.8756,-56.0861,94.82,49,40,6.91,scattered clouds
314,Lavrentiya,RU,65.5833,-171.0,6.91,89,38,7.14,scattered clouds
315,Te Horo,NZ,-40.8084,175.1233,59.81,94,100,4.0,overcast clouds
316,Hakkari,TR,37.5833,44.1667,49.39,89,65,4.32,light rain
317,Nantucket,US,41.2835,-70.0995,54.09,83,100,18.21,overcast clouds
318,Moerai,PF,-22.4333,-151.3333,77.04,77,100,9.37,light rain
319,Juegang,CN,32.3174,121.1855,61.92,84,39,8.5,scattered clouds
320,Bogorodskoye,RU,56.55,37.8833,45.68,64,69,5.82,broken clouds
321,Bo Phloi,TH,14.3236,99.5161,80.31,63,99,8.23,overcast clouds
322,Ancud,CL,-41.8697,-73.8203,52.5,70,13,2.8,few clouds
323,Pangkalanbuun,ID,-2.6833,111.6167,75.88,95,100,2.28,moderate rain
324,Magdagachi,RU,53.45,125.8,31.55,83,100,11.23,light snow
325,Rosarito,MX,32.3333,-117.0333,67.41,65,9,7.05,clear sky
326,Sawtell,AU,-30.3833,153.1,59.02,88,22,8.05,few clouds
327,Micheweni,TZ,-4.9667,39.8333,80.15,78,87,18.16,overcast clouds
328,Sechura,PE,-5.5569,-80.8222,78.66,56,72,6.38,broken clouds
329,Dodge City,US,37.7528,-100.0171,59.25,97,100,20.71,mist
330,Izumo,JP,35.3667,132.7667,46.35,73,98,1.19,overcast clouds
331,Meiganga,CM,6.5167,14.3,67.8,75,84,10.4,light rain
332,Escalerillas,MX,22.1333,-101.0667,80.06,12,62,11.43,broken clouds
333,Agalatovo,RU,60.2195,30.2739,52.74,62,100,12.68,overcast clouds
334,Garissa,KE,-0.4536,39.6401,86.05,53,91,15.73,overcast clouds
335,Grakhovo,RU,56.0502,51.9676,42.58,78,97,7.65,light rain
336,Santa Maria,BR,-29.6842,-53.8069,56.5,94,100,12.66,moderate rain
337,Channel-Port Aux Basques,CA,47.5702,-59.1367,38.17,94,99,9.62,overcast clouds
338,Maarianhamina,AX,60.0973,19.9348,53.46,40,0,9.22,light rain
339,Carballo,ES,43.213,-8.691,58.01,86,100,9.91,overcast clouds
340,Derzhavinsk,KZ,51.1,66.3167,47.53,35,4,16.26,clear sky
341,Srednekolymsk,RU,67.45,153.6833,30.31,87,100,3.58,overcast clouds
342,Ayios Nikolaos,GR,38.4167,23.65,60.66,85,100,5.28,overcast clouds
343,Kamoke,PK,31.9744,74.2244,93.09,16,1,8.21,clear sky
344,Salinopolis,BR,-0.6136,-47.3561,80.58,84,96,6.2,overcast clouds
345,Balabac,PH,7.9868,117.0645,82.0,75,100,4.52,overcast clouds
346,Buin,CL,-33.7333,-70.75,71.87,35,0,0.81,clear sky
347,Saldanha,ZA,-33.0117,17.9442,75.25,70,82,9.84,broken clouds
348,Monticello,US,45.3055,-93.7941,45.95,70,100,11.5,overcast clouds
349,Mount Gambier,AU,-37.8333,140.7667,53.51,87,50,9.22,scattered clouds
350,Proletariy,RU,58.4342,31.7046,47.5,66,99,10.38,overcast clouds
351,Tongliao,CN,43.6125,122.2653,55.58,27,95,15.95,overcast clouds
352,Lazaro Cardenas,MX,17.9583,-102.2,85.69,35,95,6.58,overcast clouds
353,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,36,0,6.91,clear sky
354,Cabo Rojo,PR,18.0866,-67.1457,85.24,73,100,5.99,overcast clouds
355,Talnakh,RU,69.4865,88.3972,15.66,96,92,2.21,overcast clouds
356,Murgab,TM,37.4966,61.9714,75.07,53,75,11.5,broken clouds
357,Fonte Boa,BR,-2.4959,-66.2662,83.03,73,95,3.65,overcast clouds
